蔬菜 產品日交易行情,,,,,,,,,,
交易日期：,113/10/01 ~ 113/10/31 (農曆:113/08/29 ~ 113/09/29),,,,,,,,,
市　　場：,全部市場,,,,,,,,,
產　　品：,全部產品,,,,,,,,,
日　　期,市　　場,產　　品,上價,中價,下價,平均價(元/公斤),增減%,交易量(公斤),增減%,
113/10/01,104 台北二,FA0 其他花類  ,100.0 ,100.0 ,100.0 ,100.0 ,  -  ,5 ,  -  ,500
113/10/01,104 台北二,FA1 黃秋葵  ,148.9 ,104.6 ,48.2 ,102.2 , +  5,"1,901 ", + 27,194282.2
113/10/01,104 台北二,FB1 花椰菜 青梗 ,105.6 ,69.6 ,34.2 ,69.7 , - 18,"3,888 ", + 89,270993.6
113/10/01,104 台北二,FB9 花椰菜 進口 ,120.0 ,120.0 ,120.0 ,120.0 ,  -  ,50 ,  -  ,6000
113/10/01,104 台北二,FC1 胡瓜 黑刺 ,61.2 ,35.1 ,18.7 ,37.0 , +  7,"13,047 ", + 76,482739
113/10/01,104 台北二,FD0 花胡瓜 其他 ,126.9 ,94.2 ,63.8 ,94.6 , +  8,845 , + 89,79937
113/10/01,104 台北二,FD1 花胡瓜  ,115.4 ,78.2 ,50.9 ,80.2 , +  0,"18,418 ", + 69,1477123.6
113/10/01,104 台北二,FE0 冬瓜 其他 ,20.0 ,17.8 ,10.0 ,16.7 , + 37,78 , - 92,1302.6
113/10/01,104 台北二,FE1 冬瓜 白皮 ,30.0 ,24.2 ,18.6 ,24.2 , + 38,"5,999 ", +123,145175.8
113/10/01,104 台北二,FF0 絲瓜 其他 ,53.6 ,33.3 ,24.6 ,35.6 , - 13,"1,772 ", + 99,63083.2
113/10/01,104 台北二,FF1 絲瓜  ,56.4 ,38.2 ,25.2 ,39.2 , +  1,"18,588 ", + 53,728649.6
113/10/01,104 台北二,FF2 絲瓜 角瓜 ,70.0 ,54.6 ,12.3 ,49.2 , +  3,96 , - 48,4723.2
113/10/01,104 台北二,FF4 絲瓜 長絲瓜 ,46.0 ,37.6 ,20.0 ,35.8 , +  9,67 , -  1,2398.6
113/10/01,104 台北二,FG0 苦瓜 其他 ,67.9 ,61.0 ,39.9 ,58.2 , - 18,"3,288 ", +122,191361.6
113/10/01,104 台北二,FG1 苦瓜 白大米 ,118.4 ,78.2 ,51.9 ,81.0 , -  7,"5,744 ", + 66,465264
113/10/01,104 台北二,FG3 苦瓜 山苦瓜 ,120.0 ,97.4 ,80.0 ,98.5 , - 18,26 , - 21,2561
113/10/01,104 台北二,FG4 苦瓜 翠綠 ,68.8 ,54.6 ,35.7 ,53.6 , -  9,"1,118 ", + 41,59924.8
113/10/01,104 台北二,FH1 扁蒲 長形 ,21.0 ,20.6 ,20.0 ,20.5 , - 54,17 , - 15,348.5
113/10/01,104 台北二,FH3 扁蒲 花蒲 ,53.8 ,33.9 ,24.7 ,36.0 , + 15,"3,610 ", + 84,129960
113/10/01,104 台北二,FH4 扁蒲 梨子蒲 ,59.2 ,46.7 ,28.4 ,45.6 , +  9,"6,044 ", + 38,275606.4
113/10/01,104 台北二,FI0 茄子 其他 ,80.0 ,60.7 ,50.0 ,62.4 , - 11,77 , +670,4804.8
113/10/01,104 台北二,FI2 茄子 麻荸茄 ,129.1 ,75.5 ,43.2 ,79.7 , +  2,"5,475 ", + 42,436357.5
113/10/01,104 台北二,FI3 茄子 日本種 ,53.5 ,41.7 ,30.0 ,41.7 , - 12,99 , - 53,4128.3
113/10/01,104 台北二,FJ3 番茄 牛番茄 ,160.2 ,115.1 ,76.5 ,116.4 , -  0,"13,795 ", + 75,1605738
113/10/01,104 台北二,FK3 甜椒 新香 ,75.0 ,59.3 ,50.0 ,60.6 , - 13,61 , + 85,3696.6
113/10/01,104 台北二,FK4 甜椒 彩色種 ,180.9 ,94.8 ,57.2 ,104.5 , + 10,"1,741 ", + 75,181934.5
113/10/01,104 台北二,FK5 甜椒 青椒 ,132.6 ,76.8 ,44.6 ,81.5 , + 24,"3,507 ", + 37,285820.5
113/10/01,104 台北二,FK6 甜椒 水果彩椒 ,197.7 ,129.9 ,81.2 ,133.8 , + 20,686 , + 12,91786.8
113/10/01,104 台北二,FK9 甜椒 進口 ,130.0 ,130.0 ,130.0 ,130.0 ,  -  ,150 ,  -  ,19500
113/10/01,104 台北二,FL5 豌豆 豌豆苗 ,50.0 ,50.0 ,50.0 ,50.0 ,  -  ,40 ,  -  ,2000
113/10/01,104 台北二,FL9 豌豆 進口 ,190.0 ,175.7 ,143.8 ,172.2 , -  2,672 , + 34,115718.4
113/10/01,104 台北二,FM1 菜豆 白色 ,65.0 ,65.0 ,65.0 ,65.0 ,  -  ,30 ,  -  ,1950
113/10/01,104 台北二,FM2 菜豆 青色 ,126.6 ,86.2 ,56.7 ,88.4 , -  3,"1,940 ", + 76,171496
113/10/01,104 台北二,FN1 敏豆 白豆 ,237.7 ,153.0 ,72.3 ,153.8 , + 10,"3,194 ", + 14,491237.2
113/10/01,104 台北二,FN4 敏豆 翼豆 ,170.0 ,118.0 ,70.0 ,118.8 , +  3,33 , - 23,3920.4
113/10/01,104 台北二,FN5 敏豆 醜豆 ,172.9 ,146.7 ,85.5 ,139.7 , +  4,514 , + 50,71805.8
113/10/01,104 台北二,FP1 萊豆 豆莢 ,85.0 ,64.3 ,60.0 ,67.6 ,  -  ,33 ,  -  ,2230.8
113/10/01,104 台北二,FQ1 毛豆 豆莢 ,80.0 ,72.1 ,60.0 ,71.2 , + 16,89 , - 21,6336.8
113/10/01,104 台北二,FQ2 毛豆 豆仁 ,390.0 ,323.3 ,210.0 ,314.0 , -  0,90 , +  7,28260
113/10/01,104 台北二,FR9 青花苔 進口 ,146.4 ,134.5 ,83.5 ,126.7 , + 11,"4,826 ", -  8,611454.2
113/10/01,104 台北二,FS2 越瓜 白色 ,40.0 ,40.0 ,40.0 ,40.0 ,    0,40 , +100,1600
113/10/01,104 台北二,FT0 南瓜 其他 ,38.7 ,20.0 ,20.0 ,23.7 ,  -  ,127 ,  -  ,3009.9
113/10/01,104 台北二,FT1 南瓜 木瓜形 ,53.0 ,33.8 ,20.4 ,35.0 , +  5,"4,879 ", + 42,170765
113/10/01,104 台北二,FT2 南瓜 圓形 ,43.7 ,32.2 ,26.1 ,33.3 , + 14,"1,515 ", + 94,50449.5
113/10/01,104 台北二,FT3 南瓜 黃如意 ,63.9 ,60.0 ,53.7 ,59.5 , -  1,155 ,    0,9222.5
113/10/01,104 台北二,FT5 南瓜 青如意 ,115.0 ,77.3 ,39.1 ,77.2 , -  1,"5,688 ", + 59,439113.6
113/10/01,104 台北二,FT9 南瓜 進口 ,51.3 ,42.8 ,31.7 ,42.3 , +  1,"2,383 ", + 13,100800.9
113/10/01,104 台北二,FU1 隼人瓜  ,31.9 ,20.3 ,14.9 ,21.5 , -  4,"4,201 ", +110,90321.5
113/10/01,104 台北二,FU2 隼人瓜 瓜苗 ,225.7 ,192.9 ,152.0 ,191.3 , + 21,687 , + 12,131423.1
113/10/01,104 台北二,FV0 辣椒 其他 ,105.0 ,97.6 ,90.0 ,97.6 ,  -  ,33 ,  -  ,3220.8
113/10/01,104 台北二,FV1 辣椒 紅小 ,165.0 ,114.8 ,58.9 ,113.7 , + 11,465 , +  6,52870.5
113/10/01,104 台北二,FV2 辣椒 青小 ,135.0 ,82.9 ,75.0 ,91.7 , + 70,58 , - 18,5318.6
113/10/01,104 台北二,FV4 辣椒 朝天椒 ,194.4 ,152.9 ,91.9 ,149.0 , + 16,519 , - 28,77331
113/10/01,104 台北二,FV6 辣椒 糯米椒 ,166.6 ,103.8 ,56.6 ,106.9 , -  9,575 , +199,61467.5
113/10/01,104 台北二,FV9 辣椒 進口 ,115.0 ,111.8 ,106.1 ,111.3 , + 33,490 , - 46,54537
113/10/01,104 台北二,FY3 玉米 超甜白 ,22.0 ,20.0 ,20.0 ,20.4 ,  -  ,580 ,  -  ,11832
113/10/01,104 台北二,FY4 玉米 玉米筍 ,59.5 ,27.2 ,19.2 ,32.0 , -  7,"3,108 ", + 54,99456
113/10/01,104 台北二,FY5 玉米 糯米黑 ,45.7 ,34.5 ,20.8 ,34.0 , - 25,"5,800 ", +202,197200
113/10/01,104 台北二,FY6 玉米 甜軟殼 ,33.0 ,25.0 ,15.6 ,24.7 , - 22,"18,510 ", + 79,457197
113/10/01,104 台北二,FY8 玉米 白龍王 ,85.5 ,22.3 ,7.2 ,31.9 , - 28,"1,860 ", +210,59334
113/10/01,104 台北二,FY9 玉米 進口 ,270.0 ,231.7 ,25.0 ,198.0 , +  8,551 , + 20,109098
113/10/01,104 台北二,FZ1 落花生 生 ,60.0 ,60.0 ,60.0 ,60.0 ,  -  ,10 ,  -  ,600
113/10/01,104 台北二,FZ2 落花生 熟 ,100.0 ,100.0 ,100.0 ,100.0 ,    0,90 , +650,9000
113/10/01,104 台北二,LA1 甘藍 初秋 ,77.7 ,58.1 ,46.5 ,59.7 , -  5,"24,607 ", + 51,1469037.9
113/10/01,104 台北二,LA2 甘藍 改良種 ,53.3 ,46.0 ,35.2 ,45.3 , -  0,"60,415 ", + 90,2736799.5
113/10/01,104 台北二,LA4 甘藍 紫色 ,35.0 ,33.5 ,30.0 ,33.1 , -  2,96 , - 38,3177.6
113/10/01,104 台北二,LA6 甘藍 甘藍芽 ,80.0 ,64.0 ,50.0 ,64.4 , + 53,171 , +242,11012.4
113/10/01,104 台北二,LA9 甘藍 進口 ,60.3 ,46.8 ,39.5 ,48.0 , + 32,"13,209 ", - 23,634032
113/10/01,104 台北二,LB1 小白菜 土白菜 ,100.7 ,80.3 ,67.2 ,81.8 , - 13,"2,099 ", +103,171698.2
113/10/01,104 台北二,LB2 小白菜 蚵仔白 ,103.2 ,73.5 ,52.1 ,75.2 , -  7,"10,380 ", + 73,780576
113/10/01,104 台北二,LB3 小白菜 奶油白 ,114.5 ,68.0 ,41.4 ,72.0 , -  1,"1,218 ", + 13,87696
113/10/01,104 台北二,LB8 小白菜 水耕 ,190.0 ,157.4 ,110.0 ,154.4 , + 19,160 , + 51,24704
113/10/01,104 台北二,LC0 包心白 其他 ,176.0 ,115.8 ,94.6 ,123.6 , + 32,"1,173 ", + 53,144982.8
113/10/01,104 台北二,LC1 包心白 包白 ,58.0 ,34.1 ,22.4 ,36.6 , + 23,"13,603 ", - 21,497869.8
113/10/01,104 台北二,LC9 包心白 進口 ,68.3 ,61.3 ,55.0 ,61.5 , + 21,"3,970 ", - 73,244155
113/10/01,104 台北二,LD1 青江白菜 小梗 ,129.3 ,84.0 ,60.7 ,88.4 , -  9,"6,420 ", +120,567528
113/10/01,104 台北二,LE1 皇宮菜 小葉 ,126.6 ,79.4 ,49.7 ,82.9 , -  1,"1,134 ", + 52,94008.6
113/10/01,104 台北二,LE2 皇宮菜 大葉 ,76.4 ,59.8 ,43.1 ,59.7 , -  4,312 , +111,18626.4
113/10/01,104 台北二,LF1 蕹菜 大葉 ,35.0 ,35.0 ,35.0 ,35.0 ,  -  ,38 ,  -  ,1330
113/10/01,104 台北二,LF2 蕹菜 小葉 ,127.1 ,84.1 ,59.3 ,87.7 , - 15,"9,134 ", + 86,801051.8
113/10/01,104 台北二,LF3 蕹菜 水蕹菜 ,140.0 ,127.7 ,77.6 ,120.2 , +  2,728 , -  6,87505.6
113/10/01,104 台北二,LG2 芹菜 白梗 ,356.0 ,265.3 ,132.8 ,257.0 , + 16,374 , +  9,96118
113/10/01,104 台北二,LG9 芹菜 進口 ,55.0 ,46.4 ,26.0 ,44.0 , + 19,"1,805 ", -  3,79420
113/10/01,104 台北二,LH2 菠菜 角葉 ,114.6 ,82.8 ,55.2 ,83.6 , - 24,"5,308 ", +108,443748.8
113/10/01,104 台北二,LI0 萵苣菜 其他 ,192.8 ,136.9 ,91.6 ,139.0 , + 21,250 , - 17,34750
113/10/01,104 台北二,LI1 萵苣菜 廣東菜 ,120.0 ,120.0 ,120.0 ,120.0 ,    0,10 ,    0,1200
113/10/01,104 台北二,LI2 萵苣菜 結球萵 ,29.6 ,24.8 ,20.8 ,25.0 , + 50,462 , + 71,11550
113/10/01,104 台北二,LI3 萵苣菜 本島圓葉 ,154.0 ,99.8 ,57.4 ,102.2 , +  1,918 , + 51,93819.6
113/10/01,104 台北二,LI4 萵苣菜 本島尖葉 ,55.0 ,55.0 ,55.0 ,55.0 ,  -  ,100 ,  -  ,5500
113/10/01,104 台北二,LI5 萵苣菜 油麥菜 ,109.2 ,75.6 ,33.8 ,73.9 , - 12,"8,227 ", + 49,607975.3
113/10/01,104 台北二,LI6 萵苣菜 蘿美 ,160.0 ,96.8 ,70.0 ,104.1 , - 25,440 , + 53,45804
113/10/01,104 台北二,LI7 萵苣菜 紅捲綠捲 ,94.8 ,44.5 ,32.5 ,52.2 , + 19,109 , + 45,5689.8
113/10/01,104 台北二,LI8 萵苣菜 水耕 ,157.9 ,128.7 ,111.0 ,131.0 , -  0,"1,545 ", + 37,202395
113/10/01,104 台北二,LI9 萵苣菜 進口 ,165.6 ,128.2 ,81.6 ,126.4 , + 23,"2,004 ", - 47,253305.6
113/10/01,104 台北二,LJ1 芥菜 芥菜仁 ,50.0 ,50.0 ,50.0 ,50.0 , + 19,80 , - 20,4000
113/10/01,104 台北二,LJ3 芥菜 大芥菜 ,44.0 ,26.4 ,15.3 ,27.7 , + 13,"3,576 ", + 15,99055.2
113/10/01,104 台北二,LJ4 芥菜 小芥菜 ,120.0 ,108.2 ,73.2 ,103.5 , + 38,268 , + 75,27738
113/10/01,104 台北二,LK2 芥藍菜  ,89.2 ,42.0 ,35.0 ,50.0 , + 11,"1,108 ", + 42,55400
113/10/01,104 台北二,LK3 芥藍菜 芥藍芽 ,176.7 ,91.4 ,65.2 ,103.2 , -  2,"3,838 ", + 38,396081.6
113/10/01,104 台北二,LM1 莧菜 紅莧菜 ,128.4 ,89.8 ,38.6 ,87.3 , + 12,435 , +129,37975.5
113/10/01,104 台北二,LM2 莧菜 白莧菜 ,125.8 ,106.0 ,58.5 ,100.4 , + 32,"3,735 ", + 44,374994
113/10/01,104 台北二,LN1 油菜  ,80.6 ,66.9 ,60.0 ,68.3 , -  1,"2,990 ", -  4,204217
113/10/01,104 台北二,LO1 甘薯葉  ,108.0 ,67.2 ,43.7 ,70.7 , -  4,"11,388 ", + 41,805131.6
